"STATE_NAME","Lg_Dist_Code","DISTRICT_NAME","MICRO","SMALL","MEDIUM","Total","Last_Updated"
"ANDHRA PRADESH","745","Alluri Sitharama Raju","739","2","NA","741","2023-03-02"
"ANDHRA PRADESH","744","Anakapalli","3285","47","NA","3332","2023-03-02"
"ANDHRA PRADESH","502","ANANTHAPUR","22860","466","16","23342","2023-03-02"
"ANDHRA PRADESH","753","Annamayya","4440","60","2","4502","2023-03-02"
"ANDHRA PRADESH","750","Bapatla","3771","60","1","3832","2023-03-02"
"ANDHRA PRADESH","503","CHITOOR","19653","552","24","20229","2023-03-02"
"ANDHRA PRADESH","505","EAST GODAVARI","25588","985","60","26633","2023-03-02"
"ANDHRA PRADESH","748","Eluru","5021","70","NA","5091","2023-03-02"
"ANDHRA PRADESH","506","GUNTUR","26072","990","73","27135","2023-03-02"
"ANDHRA PRADESH","746","Kakinada","5511","67","2","5580","2023-03-02"
"ANDHRA PRADESH","747","Konaseema","4394","94","2","4490","2023-03-02"
"ANDHRA PRADESH","510","KRISHNA","31205","1389","95","32689","2023-03-02"
"ANDHRA PRADESH","511","KURNOOL","21732","593","19","22344","2023-03-02"
"ANDHRA PRADESH","755","Nandyal","4821","62","1","4884","2023-03-02"
"ANDHRA PRADESH","749","NTR","6351","116","5","6472","2023-03-02"
"ANDHRA PRADESH","751","Palnadu","4316","67","1","4384","2023-03-02"
"ANDHRA PRADESH","743","Parvathipuram Manyam","905","20","NA","925","2023-03-02"
"ANDHRA PRADESH","517","PRAKASAM","16137","482","12","16631","2023-03-02"
"ANDHRA PRADESH","515","SPSR NELLORE","19389","607","35","20031","2023-03-02"
"ANDHRA PRADESH","754","Sri Sathya Sai","3654","38","1","3693","2023-03-02"
"ANDHRA PRADESH","519","SRIKAKULAM","9162","277","8","9447","2023-03-02"
"ANDHRA PRADESH","752","Tirupati","5203","67","2","5272","2023-03-02"
"ANDHRA PRADESH","520","VISAKHAPATNAM","28943","1299","112","30354","2023-03-02"
"ANDHRA PRADESH","521","VIZIANAGARAM","9843","255","7","10105","2023-03-02"
"ANDHRA PRADESH","523","WEST GODAVARI","24466","1010","88","25564","2023-03-02"
"ANDHRA PRADESH","504","Y.S.R","16086","460","18","16564","2023-03-02"
"ARUNACHAL PRADESH","628","ANJAW","42","NA","NA","42","2023-03-02"
"ARUNACHAL PRADESH","229","CHANGLANG","199","2","NA","201","2023-03-02"
"ARUNACHAL PRADESH","230","DIBANG VALLEY","25","1","NA","26","2023-03-02"
"ARUNACHAL PRADESH","231","EAST KAMENG","68","5","NA","73","2023-03-02"
"ARUNACHAL PRADESH","232","EAST SIANG","284","10","NA","294","2023-03-02"
"ARUNACHAL PRADESH","718","KAMLE","27","NA","NA","27","2023-03-02"
"ARUNACHAL PRADESH","677","KRA DAADI","37","NA","NA","37","2023-03-02"
"ARUNACHAL PRADESH","233","KURUNG KUMEY","60","NA","NA","60","2023-03-02"
"ARUNACHAL PRADESH","724","LEPARADA","38","NA","NA","38","2023-03-02"
"ARUNACHAL PRADESH","234","LOHIT","180","4","NA","184","2023-03-02"
"ARUNACHAL PRADESH","666","LONGDING","41","2","NA","43","2023-03-02"
"ARUNACHAL PRADESH","235","LOWER DIBANG VALLEY","147","2","NA","149","2023-03-02"
"ARUNACHAL PRADESH","719","LOWER SIANG","40","1","NA","41","2023-03-02"
"ARUNACHAL PRADESH","236","LOWER SUBANSIRI","299","6","NA","305","2023-03-02"
"ARUNACHAL PRADESH","678","NAMSAI","120","NA","NA","120","2023-03-02"
"ARUNACHAL PRADESH","723","PAKKE KESSANG","11","NA","NA","11","2023-03-02"
"ARUNACHAL PRADESH","237","PAPUM PARE","1748","71","9","1828","2023-03-02"
"ARUNACHAL PRADESH","725","SHI YOMI","22","NA","NA","22","2023-03-02"
"ARUNACHAL PRADESH","679","SIANG","27","NA","NA","27","2023-03-02"
"ARUNACHAL PRADESH","238","TAWANG","164","3","NA","167","2023-03-02"
"ARUNACHAL PRADESH","239","TIRAP","64","1","NA","65","2023-03-02"
"ARUNACHAL PRADESH","240","UPPER SIANG","34","1","NA","35","2023-03-02"
"ARUNACHAL PRADESH","241","UPPER SUBANSIRI","118","5","NA","123","2023-03-02"
"ARUNACHAL PRADESH","242","WEST KAMENG","388","9","NA","397","2023-03-02"
"ARUNACHAL PRADESH","243","WEST SIANG","169","6","NA","175","2023-03-02"
"ASSAM","739","BAJALI","401","4","NA","405","2023-03-02"
"ASSAM","616","BAKSA","2087","13","2","2102","2023-03-02"
"ASSAM","280","BARPETA","5586","100","7","5693","2023-03-02"
"ASSAM","705","Biswanath","2504","42","NA","2546","2023-03-02"
"ASSAM","281","BONGAIGAON","2710","86","6","2802","2023-03-02"
"ASSAM","282","CACHAR","9478","184","13","9675","2023-03-02"
"ASSAM","708","CHARAIDEO","1288","24","NA","1312","2023-03-02"
"ASSAM","612","CHIRANG","1473","28","4","1505","2023-03-02"
"ASSAM","283","DARRANG","7456","99","1","7556","2023-03-02"
"ASSAM","284","DHEMAJI","3147","44","2","3193","2023-03-02"
"ASSAM","285","DHUBRI","3706","66","3","3775","2023-03-02"
"ASSAM","286","DIBRUGARH","7155","200","8","7363","2023-03-02"
"ASSAM","299","DIMA HASAO","522","7","NA","529","2023-03-02"
"ASSAM","287","GOALPARA","3337","62","3","3402","2023-03-02"
"ASSAM","288","GOLAGHAT","4666","99","2","4767","2023-03-02"
"ASSAM","289","HAILAKANDI","2476","30","1","2507","2023-03-02"
"ASSAM","709","HOJAI","2987","71","1","3059","2023-03-02"
"ASSAM","290","JORHAT","4770","203","13","4986","2023-03-02"
"ASSAM","291","KAMRUP","7539","175","17","7731","2023-03-02"
"ASSAM","618","KAMRUP METRO","17471","1458","152","19081","2023-03-02"
"ASSAM","292","KARBI-ANGELONG","1764","31","NA","1795","2023-03-02"
"ASSAM","293","KARIMGANJ","4007","91","NA","4098","2023-03-02"
"ASSAM","294","KOKRAJHAR","1969","49","1","2019","2023-03-02"
"ASSAM","295","LAKHIMPUR","4684","93","5","4782","2023-03-02"
"ASSAM","706","MAJULI","607","3","NA","610","2023-03-02"
"ASSAM","296","MARIGAON","3201","35","NA","3236","2023-03-02"
"ASSAM","297","NAGAON","6859","156","4","7019","2023-03-02"
"ASSAM","298","NALBARI","2912","61","2","2975","2023-03-02"
"ASSAM","300","SIVASAGAR","3799","130","5","3934","2023-03-02"
"ASSAM","301","SONITPUR","5602","108","13","5723","2023-03-02"
"ASSAM","707","SOUTH SALMARA MANCACHAR","336","7","NA","343","2023-03-02"
"ASSAM","756","TAMULPUR","182","1","NA","183","2023-03-02"
"ASSAM","302","TINSUKIA","6776","202","8","6986","2023-03-02"
"ASSAM","617","UDALGURI","2616","25","NA","2641","2023-03-02"
"ASSAM","710","WEST KARBI ANGLONG","318","2","NA","320","2023-03-02"
"BIHAR","188","ARARIA","10405","220","10","10635","2023-03-02"
"BIHAR","611","ARWAL","1840","34","NA","1874","2023-03-02"
"BIHAR","189","AURANGABAD","8112","163","4","8279","2023-03-02"
"BIHAR","190","BANKA","6875","62","1","6938","2023-03-02"
"BIHAR","191","BEGUSARAI","13804","279","16","14099","2023-03-02"
"BIHAR","192","BHAGALPUR","16186","278","11","16475","2023-03-02"
"BIHAR","193","BHOJPUR","7979","183","4","8166","2023-03-02"
"BIHAR","194","BUXAR","5530","111","5","5646","2023-03-02"
"BIHAR","195","DARBHANGA","14926","280","12","15218","2023-03-02"
"BIHAR","196","GAYA","15259","315","12","15586","2023-03-02"
"BIHAR","197","GOPALGANJ","8887","140","4","9031","2023-03-02"
"BIHAR","198","JAMUI","6697","109","1","6807","2023-03-02"
"BIHAR","199","JEHANABAD","3622","57","NA","3679","2023-03-02"
"BIHAR","200","KAIMUR (BHABUA)","4111","107","2","4220","2023-03-02"
"BIHAR","201","KATIHAR","12394","248","4","12646","2023-03-02"
"BIHAR","202","KHAGARIA","6646","113","3","6762","2023-03-02"
"BIHAR","203","KISHANGANJ","5622","108","6","5736","2023-03-02"
"BIHAR","204","LAKHISARAI","3266","59","NA","3325","2023-03-02"
"BIHAR","205","MADHEPURA","7408","136","4","7548","2023-03-02"
"BIHAR","206","MADHUBANI","15127","188","5","15320","2023-03-02"
"BIHAR","207","MUNGER","5963","57","NA","6020","2023-03-02"
"BIHAR","208","MUZAFFARPUR","27642","620","25","28287","2023-03-02"
"BIHAR","209","NALANDA","10577","201","2","10780","2023-03-02"
"BIHAR","210","NAWADA","7149","119","1","7269","2023-03-02"
"BIHAR","211","PASHCHIM  CHAMPARAN","13438","250","1","13689","2023-03-02"
"BIHAR","212","PATNA","56447","1586","138","58171","2023-03-02"
"BIHAR","213","PURBI  CHAMPARAN","22692","445","56","23193","2023-03-02"
"BIHAR","214","PURNIA","17228","516","28","17772","2023-03-02"
"BIHAR","215","ROHTAS","10604","257","6","10867","2023-03-02"
"BIHAR","216","SAHARSA","7719","127","2","7848","2023-03-02"
"BIHAR","217","SAMASTIPUR","18979","350","10","19339","2023-03-02"
"BIHAR","218","SARAN","13225","232","7","13464","2023-03-02"
"BIHAR","219","SHEIKHPURA","2880","38","NA","2918","2023-03-02"
"BIHAR","220","SHEOHAR","2392","21","NA","2413","2023-03-02"
"BIHAR","221","SITAMARHI","10963","184","5","11152","2023-03-02"
"BIHAR","222","SIWAN","10570","199","3","10772","2023-03-02"
"BIHAR","223","SUPAUL","8817","140","1","8958","2023-03-02"
"BIHAR","224","VAISHALI","17669","217","6","17892","2023-03-02"
"CHHATTISGARH","646","BALOD","3889","56","3","3948","2023-03-02"
"CHHATTISGARH","644","BALOD BAZAR","6447","96","2","6545","2023-03-02"
"CHHATTISGARH","649","BALRAMPUR","1921","28","NA","1949","2023-03-02"
"CHHATTISGARH","374","BASTAR","3526","114","3","3643","2023-03-02"
"CHHATTISGARH","650","BEMETARA","3544","50","1","3595","2023-03-02"
"CHHATTISGARH","636","BIJAPUR","524","3","NA","527","2023-03-02"
"CHHATTISGARH","375","BILASPUR","14325","476","24","14825","2023-03-02"
"CHHATTISGARH","376","DANTEWADA","990","30","NA","1020","2023-03-02"
"CHHATTISGARH","377","DHAMTARI","4905","89","1","4995","2023-03-02"
"CHHATTISGARH","378","DURG","17330","477","44","17851","2023-03-02"
"CHHATTISGARH","645","GARIABAND","2237","21","1","2259","2023-03-02"
"CHHATTISGARH","734","Gaurella Pendra Marwahi","796","14","NA","810","2023-03-02"
"CHHATTISGARH","379","JANJGIR-CHAMPA","7480","150","3","7633","2023-03-02"
"CHHATTISGARH","380","JASHPUR","2178","67","4","2249","2023-03-02"
"CHHATTISGARH","382","KABIRDHAM","3163","77","1","3241","2023-03-02"
"CHHATTISGARH","381","KANKER","3952","65","2","4019","2023-03-02"
"CHHATTISGARH","759","KHAIRGARH CHHUIKHADAN GANDAI","282","3","NA","285","2023-03-02"
"CHHATTISGARH","643","KONDAGAON","2095","55","1","2151","2023-03-02"
"CHHATTISGARH","383","KORBA","8077","239","36","8352","2023-03-02"
"CHHATTISGARH","384","KOREA","2927","52","1","2980","2023-03-02"
"CHHATTISGARH","385","MAHASAMUND","5347","92","1","5440","2023-03-02"
"CHHATTISGARH","760","MANENDRAGARH CHIRIMIRI BHARATPUR","270","4","NA","274","2023-03-02"
"CHHATTISGARH","761","MOHLA MANPUR AMBAGARH CHOUKI","75","NA","NA","75","2023-03-02"
"CHHATTISGARH","647","MUNGELI","2630","33","NA","2663","2023-03-02"
"CHHATTISGARH","637","NARAYANPUR","511","11","NA","522","2023-03-02"
"CHHATTISGARH","386","RAIGARH","8349","323","24","8696","2023-03-02"
"CHHATTISGARH","387","RAIPUR","32331","1695","200","34226","2023-03-02"
"CHHATTISGARH","388","RAJNANDAGAON","7903","158","3","8064","2023-03-02"
"CHHATTISGARH","762","SAKTI","340","6","NA","346","2023-03-02"
"CHHATTISGARH","763","SARANGARH BILAIGARH","332","4","NA","336","2023-03-02"
"CHHATTISGARH","642","SUKMA","466","12","NA","478","2023-03-02"
"CHHATTISGARH","648","SURAJPUR","2966","51","1","3018","2023-03-02"
"CHHATTISGARH","389","SURGUJA","4856","163","8","5027","2023-03-02"
"GOA","551","NORTH GOA","13549","359","33","13941","2023-03-02"
"GOA","552","SOUTH GOA","8990","270","13","9273","2023-03-02"
"GUJARAT","438","AHMADABAD","147961","4670","500","153131","2023-03-02"
"GUJARAT","439","AMRELI","6949","195","4","7148","2023-03-02"
"GUJARAT","440","ANAND","16732","275","8","17015","2023-03-02"
"GUJARAT","672","ARVALLI","4194","107","1","4302","2023-03-02"
"GUJARAT","441","BANAS KANTHA","14757","534","29","15320","2023-03-02"
"GUJARAT","442","BHARUCH","18523","613","23","19159","2023-03-02"
"GUJARAT","443","BHAVNAGAR","19472","458","33","19963","2023-03-02"
"GUJARAT","676","BOTAD","2483","64","4","2551","2023-03-02"
"GUJARAT","668","CHHOTAUDEPUR","2732","41","NA","2773","2023-03-02"
"GUJARAT","444","DANG","490","9","NA","499","2023-03-02"
"GUJARAT","674","DEVBHOOMI DWARKA","4564","121","2","4687","2023-03-02"
"GUJARAT","445","DOHAD","5274","107","10","5391","2023-03-02"
"GUJARAT","446","GANDHINAGAR","15866","362","21","16249","2023-03-02"
"GUJARAT","675","GIR SOMNATH","6145","191","4","6340","2023-03-02"
"GUJARAT","447","JAMNAGAR","16141","528","33","16702","2023-03-02"
"GUJARAT","448","JUNAGADH","13004","295","9","13308","2023-03-02"
"GUJARAT","449","KACHCHH","30680","1526","154","32360","2023-03-02"
"GUJARAT","450","KHEDA","11200","186","1","11387","2023-03-02"
"GUJARAT","451","MAHESANA","14068","602","51","14721","2023-03-02"
"GUJARAT","669","MAHISAGAR","2136","32","NA","2168","2023-03-02"
"GUJARAT","673","MORBI","12318","511","20","12849","2023-03-02"
"GUJARAT","452","NARMADA","1809","33","NA","1842","2023-03-02"
"GUJARAT","453","NAVSARI","9421","194","6","9621","2023-03-02"
"GUJARAT","454","PANCH MAHALS","6675","128","6","6809","2023-03-02"
"GUJARAT","455","PATAN","5744","184","2","5930","2023-03-02"
"GUJARAT","456","PORBANDAR","5514","140","2","5656","2023-03-02"
"GUJARAT","457","RAJKOT","57486","1451","161","59098","2023-03-02"
"GUJARAT","458","SABAR KANTHA","9653","209","10","9872","2023-03-02"
"GUJARAT","459","SURAT","100241","2533","224","102998","2023-03-02"
"GUJARAT","460","SURENDRANAGAR","9183","220","9","9412","2023-03-02"
"GUJARAT","641","TAPI","2716","62","5","2783","2023-03-02"
"GUJARAT","461","VADODARA","63993","1467","120","65580","2023-03-02"
"GUJARAT","462","VALSAD","24171","681","28","24880","2023-03-02"
"HARYANA","58","AMBALA","15645","425","20","16090","2023-03-02"
"HARYANA","59","BHIWANI","12506","319","11","12836","2023-03-02"
"HARYANA","701","CHARKI DADRI","1862","54","NA","1916","2023-03-02"
"HARYANA","60","FARIDABAD","35210","1232","96","36538","2023-03-02"
"HARYANA","61","FATEHABAD","10261","250","9","10520","2023-03-02"
"HARYANA","62","GURUGRAM","45559","2308","292","48159","2023-03-02"
"HARYANA","63","HISAR","23820","615","37","24472","2023-03-02"
"HARYANA","64","JHAJJAR","9282","307","8","9597","2023-03-02"
"HARYANA","65","JIND","14110","343","15","14468","2023-03-02"
"HARYANA","66","KAITHAL","14591","266","5","14862","2023-03-02"
"HARYANA","67","KARNAL","26073","562","40","26675","2023-03-02"
"HARYANA","68","KURUKSHETRA","16872","353","11","17236","2023-03-02"
"HARYANA","69","MAHENDRAGARH","8551","212","4","8767","2023-03-02"
"HARYANA","604","NUH","6604","156","3","6763","2023-03-02"
"HARYANA","619","PALWAL","8927","231","3","9161","2023-03-02"
"HARYANA","70","PANCHKULA","9984","409","28","10421","2023-03-02"
"HARYANA","71","PANIPAT","19025","698","44","19767","2023-03-02"
"HARYANA","72","REWARI","10522","409","27","10958","2023-03-02"
"HARYANA","73","ROHTAK","12053","424","25","12502","2023-03-02"
"HARYANA","74","SIRSA","14785","382","21","15188","2023-03-02"
"HARYANA","75","SONIPAT","16107","465","18","16590","2023-03-02"
"HARYANA","76","YAMUNANAGAR","17297","396","14","17707","2023-03-02"
"HIMACHAL PRADESH","15","BILASPUR","3350","65","2","3417","2023-03-02"
"HIMACHAL PRADESH","16","CHAMBA","3010","39","NA","3049","2023-03-02"
"HIMACHAL PRADESH","17","HAMIRPUR","3898","73","1","3972","2023-03-02"
"HIMACHAL PRADESH","18","KANGRA","11631","260","7","11898","2023-03-02"
"HIMACHAL PRADESH","19","KINNAUR","825","15","NA","840","2023-03-02"
"HIMACHAL PRADESH","20","KULLU","5662","97","1","5760","2023-03-02"
"HIMACHAL PRADESH","21","LAHUL AND SPITI","429","1","NA","430","2023-03-02"
"HIMACHAL PRADESH","22","MANDI","7628","147","8","7783","2023-03-02"
"HIMACHAL PRADESH","23","SHIMLA","8917","196","9","9122","2023-03-02"
"HIMACHAL PRADESH","24","SIRMAUR","4274","81","2","4357","2023-03-02"
"HIMACHAL PRADESH","25","SOLAN","11626","323","21","11970","2023-03-02"
"HIMACHAL PRADESH","26","UNA","4519","85","3","4607","2023-03-02"
"JHARKHAND","322","BOKARO ","17007","287","15","17309","2023-03-02"
"JHARKHAND","323","CHATRA","4962","43","1","5006","2023-03-02"
"JHARKHAND","324","DEOGHAR","7072","138","11","7221","2023-03-02"
"JHARKHAND","325","DHANBAD","21271","438","24","21733","2023-03-02"
"JHARKHAND","326","DUMKA","4833","79","7","4919","2023-03-02"
"JHARKHAND","327","EAST SINGHBHUM","21991","669","34","22694","2023-03-02"
"JHARKHAND","328","GARHWA ","3898","71","NA","3969","2023-03-02"
"JHARKHAND","329","GIRIDIH","12302","147","7","12456","2023-03-02"
"JHARKHAND","330","GODDA","4380","65","3","4448","2023-03-02"
"JHARKHAND","331","GUMLA ","2376","53","NA","2429","2023-03-02"
"JHARKHAND","332","HAZARIBAG ","13194","185","8","13387","2023-03-02"
"JHARKHAND","333","JAMTARA","2143","27","NA","2170","2023-03-02"
"JHARKHAND","606","KHUNTI ","1704","16","NA","1720","2023-03-02"
"JHARKHAND","334","KODERMA ","5387","77","3","5467","2023-03-02"
"JHARKHAND","335","LATEHAR","2704","32","NA","2736","2023-03-02"
"JHARKHAND","336","LOHARDAGA ","2573","48","NA","2621","2023-03-02"
"JHARKHAND","337","PAKUR ","2951","42","NA","2993","2023-03-02"
